group,angle_id_6,angle_id_7,max_rpm_id_0,max_rpm_id_1,influence,baseline,bias,baseline_corrected,influence_corrected,absolute_influence,relative_influence
1,-1.8759987855676297,7.015776608065849e-05,5800.0,5800.0,-8.393177558481693,-8.613880678682298,-0.891880742364696,-7.7219999363176015,-7.501296816116996,0.22070312020060534,-2.858108288276577
2,-1.7456104185973502,7.015776608065849e-05,5800.0,5800.0,-7.974673090485943,-8.514504236812364,-0.8581274937846114,-7.656376743027753,-7.116545596701332,0.5398311463264207,-7.050739069469324
3,-1.613688070839185,7.015776608065849e-05,5800.0,5800.0,-7.874299139983883,-8.480049163975975,-0.835202133399615,-7.6448470305763605,-7.039097006584268,0.6057500239920923,-7.923638256845848
4,-1.4832997038689055,7.015776608065849e-05,5800.0,5800.0,-7.641533906457015,-8.408647196989563,-0.7798278860238315,-7.628819310965731,-6.861706020433184,0.7671132905325475,-10.055465456232424
5,-1.352911336898626,7.015776608065849e-05,5800.0,5800.0,-7.850104058935003,-8.494914191180863,-0.778896490123063,-7.7160177010578,-7.07120756881194,0.6448101322458601,-8.356773626341761
6,-1.2209889891404608,7.015776608065849e-05,5800.0,5800.0,-8.109850261101585,-8.621388427028313,-0.7618069700212823,-7.859581457007031,-7.348043291080303,0.5115381659267282,-6.508465733511522
7,-1.0906006221701814,7.015776608065849e-05,5800.0,5800.0,-8.362318032624705,-8.454258682201434,-0.7774942808663817,-7.676764401335053,-7.584823751758323,0.09194064957672943,-1.1976484462743209
8,-0.960212255199902,7.015776608065849e-05,5800.0,5800.0,-8.480101362327282,-8.594496664287147,-0.7556852701081673,-7.83881139417898,-7.724416092219115,0.11439530195986514,-1.4593449976971495
9,-0.8282899074417367,7.015776608065849e-05,5800.0,5800.0,-8.542861854438438,-8.500644105035555,-0.7602490671896345,-7.7403950378459205,-7.782612787248804,-0.0422177494028837,0.5454211212278449
10,-1.963435690477111,0.0875070626755623,5800.0,5800.0,-8.140343045425563,-8.44750802255859,-0.7191831946048038,-7.728324827953787,-7.42115985082076,0.30716497713302715,-3.9745350250030134
11,-1.826911400355289,0.0875070626755623,5800.0,5800.0,-7.885308112390193,-8.38563270093989,-0.6618592752547491,-7.723773425685141,-7.223448837135444,0.500324588549697,-6.477722234651329
12,-1.690387110233467,0.0875070626755623,5800.0,5800.0,-7.670549613995305,-8.44026949626474,-0.6423799733073681,-7.797889522957372,-7.028169640687937,0.7697198822694356,-9.870874420615246
13,-1.553862820111645,0.0875070626755623,5800.0,5800.0,-7.541574116670097,-8.334373054061968,-0.6377133537227144,-7.696659700339254,-6.903860762947383,0.7927989373918702,-10.300558531344775
14,-1.4173385299898231,0.0875070626755623,5800.0,5800.0,-7.835405463936657,-8.402844373495661,-0.6253706131754745,-7.777473760320187,-7.210034850761183,0.5674389095590042,-7.295928305846751
15,-1.2823482206558867,0.0875070626755623,5800.0,5800.0,-7.936293422435382,-8.502357746060953,-0.6147906465948202,-7.887567099466133,-7.321502775840561,0.5660643236255716,-7.176665713105444
16,-1.1458239305340645,0.0875070626755623,5800.0,5800.0,-8.201492720856407,-8.42894461039057,-0.6138148999531297,-7.81512971043744,-7.587677820903278,0.22745188953416218,-2.91040453532576
17,-1.0092996404122423,0.0875070626755623,5800.0,5800.0,-8.321780459086101,-8.475262238467291,-0.5801741579325712,-7.89508808053472,-7.74160630115353,0.15348177938119,-1.9440160491635068
18,-0.8727753502904205,0.0875070626755623,5800.0,5800.0,-8.314967162686967,-8.470108310673444,-0.5917816927059086,-7.878326617967535,-7.7231854699810585,0.15514114798647682,-1.9692144729396917
19,-2.006387152537909,0.1749439675850439,5800.0,5800.0,-8.117063357301152,-8.448565915941753,-0.5868045794411789,-7.8617613365005745,-7.530258777859974,0.33150255864060085,-4.216644902478802
20,-1.8713968432039727,0.1749439675850439,5800.0,5800.0,-7.853556397661234,-8.480663566274417,-0.5263777574591524,-7.954285808815265,-7.3271786402020815,0.6271071686131835,-7.88389031631473
21,-1.7348725530821507,0.1749439675850439,5800.0,5800.0,-7.476289534403282,-8.307424080031979,-0.48842305324906193,-7.819001026782916,-6.98786648115422,0.8311345456286965,-10.629676895830542
22,-1.5983482629603287,0.1749439675850439,5800.0,5800.0,-7.593356345550359,-8.373016264882718,-0.4710553394194839,-7.901960925463234,-7.122301006130875,0.7796599193323592,-9.86666381530675
